"parameter","mean","sd","n_eff","Rhat"
"log_concentration[22,3]",1.40208236513212,1.95883072669237,1.5175753916188,9.64705427563019
"log_concentration[48,3]",4.04608946578797,2.90300706392705,1.53636135443824,6.51671292719059
"log_concentration[45,2]",4.95115704211327,3.55494340284241,1.53712405801871,6.38894642747544
"log_concentration[12,3]",3.83656846141011,2.76596595542567,1.55054692120334,5.87298358908955
"log_concentration[37,2]",2.57159757567233,1.84672090665396,1.55243711764863,5.23026681266142
"log_concentration[6,2]",3.36747909497885,2.43067852964123,1.55343409067688,5.18303388775927
"log_concentration[18,5]",2.92623661462153,2.13116990610884,1.57568569990557,4.37993237158501
"concentration[22,3]",23.5276810493651,35.3533622069757,1.80313365626232,2.50643325262589
"amplification_bias_ratio[3]",1.02186810346464,0.0410304698259248,2.01069411702558,1.9267906136675
"concentration[37,2]",35.1158797772484,31.1472695176456,2.29885046044671,1.67439246023288
"concentration[12,3]",252.940350574905,247.369747282606,2.63444260556141,1.58847591569887
"species_offset[3]",0.885459661026005,0.151686216535323,2.57130186011054,1.5451278088638
"concentration[48,3]",339.981867522924,334.316887695606,2.68329746611067,1.53011524895749
"concentration[6,2]",124.601189238002,125.028775832212,2.78734112450797,1.47205826260099
"concentration[18,5]",65.1728946205848,66.6086345876004,2.88610263483667,1.43557217814807
"species_offset[2]",-0.717409000712724,0.142398550170964,3.43768628301944,1.34640450668867
"concentration[45,2]",1469.25596119664,1743.93584766303,4.12070926180776,1.29627131843923
"amplification_bias_ratio[2]",0.781985097533771,0.0891767352454745,4.09024236943262,1.26202594232142
"lp__",-9073.65587128852,12.6371826686676,5.8230629210104,1.18066442600525
"log_concentration[33,3]",3.53341000103305,1.15022941266082,30.2562734582603,1.16262813315266
"log_concentration[31,1]",2.77623927072277,1.19987204603199,19.8533074161893,1.15722609265129
"log_concentration[22,6]",1.81638661773723,1.00472721074492,10.3857746949992,1.13044171576936
"log_concentration[22,4]",1.90352327690149,0.962816253305552,11.612674972611,1.12771218582769
"species_offset[5]",-1.10644680459688,0.126091001112621,9.52763268045211,1.12440392820372
"amplification_bias_ratio[5]",1.00027408036,0.104341003938512,13.335633339823,1.10607678068491
"concentration[22,6]",10.1678420160869,11.1846881857895,15.902074074717,1.10165309800549
"concentration[22,4]",10.6257438139718,11.4148241443511,18.5791922475569,1.09259143930026
"amplification_bias_ratio[6]",1.10951539198392,0.161079742923921,13.7720456792052,1.09166895025985
"log_concentration[22,2]",1.8564802783821,0.995192232476394,18.7817206669408,1.08875930032403
"log_concentration[42,1]",9.08788789330474,0.850526101040169,119.094867915467,1.0877748645653
